Date,Client,Service,Amount
2026-09-01,"Acme, Ltd",Monthly retainer,1250
2026-09-02,Client 2,Website care,1275
2026-09-03,Client 3,Monthly retainer,1300
2026-09-04,Client 4,Website care,1325
2026-09-05,Client 5,Monthly retainer,1350
2026-09-06,Client 6,Website care,1375
2026-09-07,Client 7,Monthly retainer,1400
2026-09-08,Client 8,Website care,1425
2026-09-09,Client 9,Monthly retainer,1450
2026-09-10,Client 10,Website care,1475
2026-09-11,Client 11,Monthly retainer,1500
2026-09-12,Client 12,Website care,1525
2026-09-13,Client 13,Monthly retainer,1550
2026-09-14,Client 14,Website care,1575
2026-09-15,Client 15,Monthly retainer,1600
2026-09-16,Client 16,Website care,1625
2026-09-17,Client 17,Monthly retainer,1650
2026-09-18,Client 18,Website care,1675
2026-09-19,Client 19,Monthly retainer,1700
2026-09-20,Client 20,Website care,1725
2026-09-21,Client 21,Monthly retainer,1750
2026-09-22,Client 22,Website care,1775
2026-09-23,Client 23,Monthly retainer,1800
2026-09-24,Client 24,Website care,1825
2026-09-25,Client 25,Monthly retainer,1850
2026-09-26,Client 26,Website care,1875
2026-09-27,Client 27,Monthly retainer,1900
2026-09-28,Client 28,Website care,1925
2026-09-01,Client 29,Monthly retainer,1950
2026-09-02,Client 30,Website care,1975
2026-09-03,Client 31,Monthly retainer,2000
2026-09-04,Client 32,Website care,2025
